Settings === Total time = 1200, Number of Nodes = 13, Speed = 20
Time	Node	Pos_X	Pos_Y
34	1	60	8000
34	2	0	2660
34	3	660	2000
34	4	660	4000
34	5	660	6000
34	6	660	8000
34	7	5000	2660
34	8	5660	2000
34	9	5660	4000
34	10	5660	6000
34	11	5660	8000
34	12	10000	2660
34	13	9960	2000
35	1	80	8000
35	2	0	2680
35	3	680	2000
35	4	680	4000
35	5	680	6000
35	6	680	8000
35	7	5000	2680
35	8	5680	2000
35	9	5680	4000
35	10	5680	6000
35	11	5680	8000
35	12	10000	2680
35	13	9980	2000
36	1	100	8000
36	2	0	2700
36	3	700	2000
36	4	700	4000
36	5	700	6000
36	6	700	8000
36	7	5000	2700
36	8	5700	2000
36	9	5700	4000
36	10	5700	6000
36	11	5700	8000
36	12	10000	2700
36	13	10000	2000
37	1	80	8000
37	2	0	2720
37	3	720	2000
37	4	720	4000
37	5	720	6000
37	6	720	8000
37	7	5000	2720
37	8	5720	2000
37	9	5720	4000
37	10	5720	6000
37	11	5720	8000
37	12	10000	2720
37	13	9980	2000
38	1	60	8000
38	2	0	2740
38	3	740	2000
38	4	740	4000
38	5	740	6000
38	6	740	8000
38	7	5000	2740
38	8	5740	2000
38	9	5740	4000
38	10	5740	6000
38	11	5740	8000
38	12	10000	2740
38	13	9960	2000
39	1	40	8000
39	2	0	2760
39	3	760	2000
39	4	760	4000
39	5	760	6000
39	6	760	8000
39	7	5000	2760
39	8	5760	2000
39	9	5760	4000
39	10	5760	6000
39	11	5760	8000
39	12	10000	2760
39	13	9940	2000
40	1	20	8000
40	2	0	2780
40	3	780	2000
40	4	780	4000
40	5	780	6000
40	6	780	8000
40	7	5000	2780
40	8	5780	2000
40	9	5780	4000
40	10	5780	6000
40	11	5780	8000
40	12	10000	2780
40	13	9920	2000
41	1	0	8000
41	2	0	2800
41	3	800	2000
41	4	800	4000
41	5	800	6000
41	6	800	8000
41	7	5000	2800
41	8	5800	2000
41	9	5800	4000
41	10	5800	6000
41	11	5800	8000
41	12	10000	2800
41	13	9900	2000
42	1	20	8000
42	2	0	2820
42	3	820	2000
42	4	820	4000
42	5	820	6000
42	6	820	8000
42	7	5000	2820
42	8	5820	2000
42	9	5820	4000
42	10	5820	6000
42	11	5820	8000
42	12	10000	2820
42	13	9920	2000
43	1	40	8000
43	2	0	2840
43	3	840	2000
43	4	840	4000
43	5	840	6000
43	6	840	8000
43	7	5000	2840
43	8	5840	2000
43	9	5840	4000
43	10	5840	6000
43	11	5840	8000
43	12	10000	2840
43	13	9940	2000
44	1	60	8000
44	2	0	2860
44	3	860	2000
44	4	860	4000
44	5	860	6000
44	6	860	8000
44	7	5000	2860
44	8	5860	2000
44	9	5860	4000
44	10	5860	6000
44	11	5860	8000
44	12	10000	2860
44	13	9960	2000
45	1	80	8000
45	2	0	2880
45	3	880	2000
45	4	880	4000
45	5	880	6000
45	6	880	8000
45	7	5000	2880
45	8	5880	2000
45	9	5880	4000
45	10	5880	6000
45	11	5880	8000
45	12	10000	2880
45	13	9980	2000
46	1	100	8000
46	2	0	2900
46	3	900	2000
46	4	900	4000
46	5	900	6000
46	6	900	8000
46	7	5000	2900
46	8	5900	2000
46	9	5900	4000
46	10	5900	6000
46	11	5900	8000
46	12	10000	2900
46	13	10000	2000
47	1	80	8000
47	2	0	2920
47	3	920	2000
47	4	920	4000
47	5	920	6000
47	6	920	8000
47	7	5000	2920
47	8	5920	2000
47	9	5920	4000
47	10	5920	6000
47	11	5920	8000
47	12	10000	2920
47	13	9980	2000
48	1	60	8000
48	2	0	2940
48	3	940	2000
48	4	940	4000
48	5	940	6000
48	6	940	8000
48	7	5000	2940
48	8	5940	2000
48	9	5940	4000
48	10	5940	6000
48	11	5940	8000
48	12	10000	2940
48	13	9960	2000
49	1	40	8000
49	2	0	2960
49	3	960	2000
49	4	960	4000
49	5	960	6000
49	6	960	8000
49	7	5000	2960
49	8	5960	2000
